id,name,artists,genre,popularity,duration_ms,features,detail
1Dx3VdEllKOXDshSN19AxV,Saturday,['Sparklehorse'],alt-rock,37.0,147093.0,"{'tempo': 126.05, 'key': 2, 'mode': 1, 'key_confidence': 0.71, 'energy': 0.34, 'danceability': 0.49, 'valence': 0.74, 'instrumentalness': 0.75, 'acousticness': 0.96, 'loudness': 0.15, 'segments': {'count': 56, 'average_duration': 0.48}, 'beats': {'count': 56, 'regularity': 0.95}}",
7ErnN44J8buJL7f6EVsuFn,Never Never - December 2001 Demo,['The Libertines'],garage,37.0,147853.0,"{'tempo': 112.35, 'key': 10, 'mode': 1, 'key_confidence': 0.66, 'energy': 0.33, 'danceability': 0.45, 'valence': 0.79, 'instrumentalness': 0.76, 'acousticness': 0.95, 'loudness': 0.23, 'segments': {'count': 55, 'average_duration': 0.53}, 'beats': {'count': 55, 'regularity': 0.95}}",
6y234mJkt0DEh39NxZ4uZ6,You And Your Sister - Remastered,['This Mortal Coil'],pop,41.0,,"{'tempo': 103.36, 'key': 0, 'mode': 0, 'key_confidence': 0.52, 'energy': 0.29, 'danceability': 0.43, 'valence': 0.4, 'instrumentalness': 0.77, 'acousticness': 0.96, 'loudness': 0.31, 'segments': {'count': 49, 'average_duration': 0.58}, 'beats': {'count': 49, 'regularity': 0.88}}",
6p7f0M1lDJKTUex98OGYKa,Life And Limb,['Fugazi'],hardcore,46.0,189693.0,"{'tempo': 129.2, 'key': 8, 'mode': 0, 'key_confidence': 0.72, 'energy': 0.3, 'danceability': 0.46, 'valence': 0.42, 'instrumentalness': 0.77, 'acousticness': 0.95, 'loudness': 0.34, 'segments': {'count': 66, 'average_duration': 0.46}, 'beats': {'count': 66, 'regularity': 0.86}}",
7yHyxjdYOWi78Oq5pA7KPh,Here Comes Alice,['The Jesus and Mary Chain'],indie pop,37.0,233746.0,"{'tempo': 112.35, 'key': 5, 'mode': 0, 'key_confidence': 0.8, 'energy': 0.39, 'danceability': 0.44, 'valence': 0.49, 'instrumentalness': 0.74, 'acousticness': 0.94, 'loudness': 0.08, 'segments': {'count': 54, 'average_duration': 0.53}, 'beats': {'count': 54, 'regularity': 0.97}}",
4BVC2Ou8Ka1kmT11wtZFl6,翼をください,['Megumi Hayashibara'],,37.0,,"{'tempo': 139.67, 'key': 2, 'mode': 1, 'key_confidence': 0.41, 'energy': 0.32, 'danceability': 0.48, 'valence': 0.74, 'instrumentalness': 0.75, 'acousticness': 0.97, 'loudness': 0.23, 'segments': {'count': 66, 'average_duration': 0.43}, 'beats': {'count': 66, 'regularity': 0.93}}",
0wW7XxwtvH21JOOBaIew4E,Move,['Sol Seppy'],pop,50.0,,"{'tempo': 123.05, 'key': 6, 'mode': 1, 'key_confidence': 0.71, 'energy': 0.38, 'danceability': 0.4, 'valence': 0.8, 'instrumentalness': 0.75, 'acousticness': 0.93, 'loudness': 0.16, 'segments': {'count': 62, 'average_duration': 0.49}, 'beats': {'count': 62, 'regularity': 0.89}}",
52XTRaKbhUpioV6JfT2zPM,Dead For Love,['The Libertines'],,2.0,,"{'tempo': 161.5, 'key': 6, 'mode': 1, 'key_confidence': 0.68, 'energy': 0.34, 'danceability': 0.5, 'valence': 0.78, 'instrumentalness': 0.76, 'acousticness': 0.96, 'loudness': 0.21, 'segments': {'count': 73, 'average_duration': 0.37}, 'beats': {'count': 73, 'regularity': 0.91}}",
7xKdfpocNb0G5Bp2l1cyOg,Lakes,['Harbours & Oceans'],,17.0,,"{'tempo': 129.2, 'key': 1, 'mode': 1, 'key_confidence': 0.69, 'energy': 0.24, 'danceability': 0.54, 'valence': 0.56, 'instrumentalness': 0.83, 'acousticness': 0.98, 'loudness': 0.5, 'segments': {'count': 31, 'average_duration': 0.46}, 'beats': {'count': 31, 'regularity': 0.88}}",
3VY3JjW7T0f49JqdFlvqIV,TEENAGE TEARAWAY (feat. Clams Casino),"['Clams Casino', 'RAT BOY']",,11.0,,"{'tempo': 123.05, 'key': 5, 'mode': 0, 'key_confidence': 0.66, 'energy': 0.35, 'danceability': 0.46, 'valence': 0.5, 'instrumentalness': 0.76, 'acousticness': 0.95, 'loudness': 0.22, 'segments': {'count': 55, 'average_duration': 0.49}, 'beats': {'count': 55, 'regularity': 0.87}}",
