genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity,Relax/Chill
,0.0,,99.38,5.0,0.0,0.49,0.36,0.41,0.49,0.75,0.94,0.15,47.0,0.6,47.0,0.84,Happy/Excited
,0.0,,136.0,8.0,0.0,0.56,0.35,0.46,0.5,0.75,0.95,0.21,66.0,0.44,66.0,0.93,Relax/Chill
j-pop,66.0,315500.0,90.67,2.0,1.0,0.47,0.35,0.4,0.75,0.74,0.97,0.17,44.0,0.66,44.0,0.93,Tired/Sad
j-pop,66.0,279300.0,101.33,9.0,1.0,0.48,0.32,0.45,0.7,0.76,0.96,0.24,48.0,0.59,48.0,0.89,Relax/Chill
j-pop,62.0,285426.0,105.47,0.0,1.0,0.59,0.33,0.46,0.77,0.75,0.96,0.26,52.0,0.57,52.0,0.93,Tired/Sad
j-pop,59.0,238640.0,136.0,4.0,1.0,0.63,0.34,0.48,0.8,0.75,0.96,0.23,65.0,0.44,65.0,0.92,Relax/Chill
pop,58.0,264886.0,143.55,2.0,1.0,0.48,0.32,0.55,0.8,0.77,0.96,0.26,35.0,0.42,35.0,0.93,Relax/Chill
j-pop,51.0,267966.0,139.67,6.0,1.0,0.54,0.36,0.47,0.8,0.75,0.95,0.19,67.0,0.43,67.0,0.93,Relax/Chill
pop,55.0,280700.0,152.0,6.0,1.0,0.54,0.34,0.5,0.78,0.75,0.96,0.21,73.0,0.39,73.0,0.94,Relax/Chill
rock,64.0,263600.0,161.5,1.0,0.0,0.6,0.36,0.45,0.5,0.74,0.96,0.18,77.0,0.37,77.0,0.92,Relax/Chill
rock,58.0,265332.0,156.61,4.0,1.0,0.67,0.34,0.44,0.81,0.76,0.94,0.3,74.0,0.38,74.0,0.96,Relax/Chill
j-rock,34.0,282656.0,120.19,9.0,1.0,0.68,0.33,0.45,0.79,0.75,0.96,0.24,59.0,0.5,59.0,0.94,Relax/Chill
j-rock,54.0,209973.0,99.38,6.0,0.0,0.58,0.38,0.35,0.49,0.73,0.95,0.12,49.0,0.6,49.0,0.91,Happy/Excited
,54.0,,129.2,0.0,0.0,0.55,0.38,0.42,0.5,0.74,0.91,0.2,63.0,0.46,63.0,0.96,Relax/Chill
,51.0,,129.2,3.0,0.0,0.66,0.4,0.5,0.51,0.76,0.91,0.16,63.0,0.46,63.0,0.95,Relax/Chill
,52.0,,129.2,11.0,1.0,0.55,0.33,0.5,0.8,0.75,0.94,0.31,62.0,0.46,62.0,0.97,Relax/Chill
,43.0,,191.41,9.0,1.0,0.54,0.32,0.51,0.81,0.76,0.95,0.33,89.0,0.31,89.0,0.96,Happy/Excited
j-idol,46.0,211746.0,136.0,7.0,1.0,0.66,0.35,0.52,0.81,0.75,0.92,0.29,64.0,0.44,64.0,0.98,Happy/Excited
pop,51.0,221760.0,129.2,1.0,1.0,0.62,0.37,0.46,0.8,0.74,0.92,0.24,63.0,0.46,63.0,0.96,Relax/Chill
edm,87.0,176658.0,126.05,6.0,0.0,0.6,0.33,0.44,0.49,0.75,0.96,0.26,62.0,0.48,62.0,0.91,Relax/Chill
,61.0,,129.2,6.0,0.0,0.47,0.31,0.49,0.5,0.77,0.95,0.31,58.0,0.46,58.0,0.96,Relax/Chill
,69.0,,172.27,8.0,0.0,0.5,0.36,0.62,0.51,0.74,0.95,0.18,41.0,0.35,41.0,0.94,Happy/Excited
