genre,popularity,duration_ms,tempo,key,mode,key_confidence,energy,danceability,valence,instrumentalness,acousticness,loudness,segments_count,segments_avg_duration,beats_count,beats_regularity,Relax/Chill
,63.0,,87.59,5.0,0.0,0.59,0.32,0.38,0.48,0.77,0.95,0.32,42.0,0.68,42.0,0.9,Relax/Chill
,64.0,,83.35,2.0,1.0,0.55,0.34,0.41,0.78,0.75,0.96,0.25,41.0,0.72,41.0,0.89,Relax/Chill
,54.0,,126.05,7.0,1.0,0.64,0.38,0.49,0.8,0.75,0.94,0.16,56.0,0.48,56.0,0.91,Happy/Excited
,47.0,,114.84,8.0,0.0,0.52,0.34,0.47,0.49,0.77,0.94,0.3,51.0,0.52,51.0,0.93,Relax/Chill
,46.0,,172.27,2.0,1.0,0.55,0.37,0.46,0.81,0.75,0.94,0.2,80.0,0.35,80.0,0.9,Happy/Excited
,57.0,,161.5,11.0,1.0,0.6,0.33,0.51,0.8,0.75,0.97,0.27,79.0,0.37,79.0,0.95,Happy/Excited
,52.0,,143.55,7.0,0.0,0.54,0.31,0.47,0.45,0.77,0.96,0.32,72.0,0.42,72.0,0.91,Happy/Excited
rock,66.0,250800.0,114.84,6.0,1.0,0.59,0.41,0.48,0.8,0.73,0.93,0.09,52.0,0.52,52.0,0.92,Relax/Chill
,60.0,,107.67,10.0,0.0,0.67,0.36,0.41,0.49,0.74,0.96,0.2,53.0,0.56,53.0,0.94,Relax/Chill
,60.0,,123.05,9.0,0.0,0.59,0.38,0.61,0.5,0.75,0.93,0.18,14.0,0.49,14.0,0.95,Happy/Excited
,52.0,,147.66,4.0,1.0,0.6,0.38,0.53,0.81,0.74,0.93,0.16,65.0,0.41,65.0,0.94,Relax/Chill
j-rock,57.0,315866.0,92.29,6.0,1.0,0.54,0.37,0.42,0.79,0.75,0.94,0.18,45.0,0.65,45.0,0.91,Happy/Excited
j-rock,56.0,253240.0,114.84,1.0,0.0,0.58,0.37,0.39,0.5,0.72,0.94,0.16,54.0,0.52,54.0,0.92,Happy/Excited
,54.0,,143.55,0.0,1.0,0.51,0.37,0.46,0.8,0.73,0.95,0.17,68.0,0.42,68.0,0.94,Relax/Chill
j-rock,52.0,240026.0,101.33,8.0,0.0,0.54,0.34,0.43,0.46,0.74,0.97,0.19,48.0,0.59,48.0,0.94,Happy/Excited
,41.0,,139.67,5.0,0.0,0.53,0.37,0.45,0.5,0.75,0.94,0.18,65.0,0.43,65.0,0.9,Happy/Excited
,41.0,,112.35,2.0,1.0,0.56,0.38,0.43,0.8,0.75,0.93,0.2,57.0,0.53,57.0,0.94,Tired/Sad
pop,74.0,258838.0,129.2,0.0,1.0,0.56,0.32,0.48,0.79,0.75,0.97,0.26,63.0,0.46,63.0,0.95,Happy/Excited
pop,73.0,211733.0,166.71,9.0,0.0,0.58,0.36,0.44,0.51,0.75,0.94,0.23,78.0,0.36,78.0,0.96,Happy/Excited
pop,68.0,192400.0,84.72,9.0,1.0,0.55,0.34,0.36,0.78,0.74,0.96,0.25,42.0,0.71,42.0,0.84,Happy/Excited
pop,72.0,194266.0,103.36,2.0,1.0,0.63,0.35,0.4,0.79,0.75,0.95,0.25,52.0,0.58,52.0,0.91,Happy/Excited
,63.0,,84.72,8.0,0.0,0.63,0.35,0.38,0.48,0.75,0.94,0.23,40.0,0.71,40.0,0.89,Happy/Excited
pop,68.0,240746.0,178.21,0.0,0.0,0.5,0.37,0.48,0.51,0.73,0.94,0.17,84.0,0.34,84.0,0.95,Tired/Sad
pop,61.0,224066.0,129.2,0.0,0.0,0.54,0.34,0.47,0.5,0.75,0.95,0.25,63.0,0.46,63.0,0.95,Happy/Excited
pop,63.0,243613.0,99.38,8.0,0.0,0.51,0.34,0.46,0.49,0.74,0.96,0.25,49.0,0.6,49.0,0.97,Relax/Chill
j-pop,59.0,198853.0,129.2,11.0,0.0,0.57,0.33,0.58,0.5,0.76,0.96,0.27,31.0,0.46,31.0,0.97,Happy/Excited
pop,55.0,172366.0,90.67,10.0,0.0,0.56,0.36,0.46,0.48,0.74,0.96,0.18,42.0,0.66,42.0,0.93,Relax/Chill
,60.0,,103.36,9.0,1.0,0.56,0.37,0.54,0.79,0.74,0.95,0.16,24.0,0.58,24.0,0.93,Relax/Chill
,64.0,,103.36,2.0,1.0,0.5,0.36,0.43,0.79,0.74,0.94,0.19,49.0,0.58,49.0,0.94,Relax/Chill
,59.0,,109.96,3.0,1.0,0.57,0.37,0.45,0.79,0.73,0.95,0.14,54.0,0.55,54.0,0.96,Relax/Chill
,60.0,,107.67,7.0,1.0,0.54,0.38,0.46,0.79,0.72,0.94,0.13,52.0,0.56,52.0,0.96,Happy/Excited
,61.0,,78.3,8.0,0.0,0.5,0.32,0.36,0.47,0.75,0.96,0.25,37.0,0.77,37.0,0.92,Relax/Chill
acoustic,64.0,266520.0,166.71,9.0,1.0,0.52,0.37,0.46,0.8,0.74,0.96,0.18,78.0,0.36,78.0,0.95,Relax/Chill
,68.0,,74.9,3.0,0.0,0.53,0.34,0.4,0.47,0.73,0.95,0.2,35.0,0.8,35.0,0.9,Relax/Chill
pop,72.0,246306.0,99.38,7.0,1.0,0.56,0.37,0.43,0.79,0.74,0.92,0.2,49.0,0.6,49.0,0.93,Angry/Frustrated
,53.0,,112.35,0.0,0.0,0.59,0.34,0.46,0.49,0.75,0.95,0.2,54.0,0.53,54.0,0.93,Relax/Chill
pop,70.0,235240.0,99.38,9.0,0.0,0.6,0.31,0.45,0.48,0.76,0.97,0.29,47.0,0.6,47.0,0.91,Relax/Chill
j-pop,62.0,218400.0,152.0,4.0,0.0,0.49,0.39,0.45,0.51,0.74,0.93,0.13,75.0,0.39,75.0,0.95,Relax/Chill
j-pop,65.0,315493.0,152.0,11.0,1.0,0.51,0.37,0.46,0.81,0.74,0.94,0.19,76.0,0.39,76.0,0.94,Happy/Excited
j-pop,61.0,244000.0,84.72,9.0,1.0,0.54,0.38,0.35,0.78,0.73,0.94,0.14,41.0,0.71,41.0,0.95,Happy/Excited
j-pop,60.0,298933.0,152.0,9.0,1.0,0.49,0.35,0.45,0.8,0.74,0.96,0.2,76.0,0.39,76.0,0.95,Relax/Chill
j-pop,59.0,362733.0,156.61,4.0,1.0,0.52,0.37,0.5,0.81,0.73,0.94,0.15,73.0,0.38,73.0,0.95,Happy/Excited
j-pop,54.0,293040.0,143.55,7.0,1.0,0.52,0.38,0.52,0.8,0.73,0.94,0.14,70.0,0.42,70.0,0.96,Relax/Chill
j-pop,50.0,348840.0,103.36,7.0,1.0,0.49,0.36,0.47,0.79,0.73,0.94,0.17,49.0,0.58,49.0,0.94,Relax/Chill
j-pop,48.0,292120.0,156.61,7.0,1.0,0.49,0.35,0.64,0.8,0.75,0.95,0.2,34.0,0.38,34.0,0.94,Tired/Sad
j-pop,44.0,264000.0,136.0,3.0,0.0,0.48,0.38,0.48,0.5,0.73,0.94,0.14,64.0,0.44,64.0,0.92,Relax/Chill
j-pop,38.0,299520.0,147.66,4.0,1.0,0.54,0.39,0.62,0.81,0.75,0.93,0.14,34.0,0.41,34.0,0.95,Relax/Chill
j-pop,58.0,226200.0,184.57,11.0,1.0,0.53,0.36,0.44,0.81,0.74,0.95,0.19,90.0,0.33,90.0,0.93,Relax/Chill
j-pop,68.0,271160.0,90.67,0.0,1.0,0.59,0.38,0.4,0.79,0.74,0.94,0.16,36.0,0.66,36.0,0.95,Happy/Excited
j-pop,57.0,213093.0,109.96,1.0,0.0,0.78,0.37,0.45,0.5,0.73,0.91,0.18,52.0,0.55,52.0,0.95,Relax/Chill
j-pop,68.0,236253.0,84.72,8.0,0.0,0.56,0.36,0.43,0.48,0.74,0.95,0.2,43.0,0.71,43.0,0.91,Relax/Chill
j-pop,53.0,210653.0,136.0,2.0,1.0,0.57,0.4,0.5,0.81,0.73,0.92,0.14,62.0,0.44,62.0,0.96,Relax/Chill
,42.0,,92.29,1.0,0.0,0.57,0.37,0.4,0.49,0.75,0.92,0.21,46.0,0.65,46.0,0.84,Relax/Chill
pop,64.0,336840.0,83.35,9.0,1.0,0.64,0.38,0.38,0.78,0.73,0.94,0.13,40.0,0.72,40.0,0.92,Happy/Excited
j-pop,51.0,253800.0,103.36,4.0,1.0,0.58,0.34,0.52,0.79,0.76,0.94,0.24,25.0,0.58,25.0,0.84,Happy/Excited
j-pop,52.0,251946.0,90.67,0.0,1.0,0.55,0.35,0.42,0.78,0.75,0.94,0.23,45.0,0.66,45.0,0.9,Relax/Chill
j-pop,44.0,,79.51,9.0,0.0,0.59,0.37,0.39,0.48,0.74,0.93,0.22,39.0,0.75,39.0,0.9,Relax/Chill
rock,77.0,272226.0,114.84,6.0,0.0,0.49,0.35,0.39,0.49,0.74,0.96,0.2,58.0,0.52,58.0,0.93,Relax/Chill
rock,81.0,288200.0,152.0,10.0,0.0,0.58,0.34,0.46,0.5,0.74,0.97,0.24,70.0,0.39,70.0,0.93,Happy/Excited
j-rock,56.0,252066.0,105.47,2.0,1.0,0.66,0.35,0.42,0.79,0.75,0.96,0.21,50.0,0.57,50.0,0.93,Relax/Chill
j-rock,64.0,211426.0,95.7,11.0,1.0,0.64,0.39,0.43,0.79,0.73,0.94,0.11,46.0,0.63,46.0,0.93,Happy/Excited
rock,77.0,270026.0,92.29,4.0,1.0,0.56,0.37,0.41,0.79,0.73,0.94,0.17,45.0,0.65,45.0,0.88,Relax/Chill
rock,76.0,343253.0,156.61,5.0,0.0,0.64,0.35,0.43,0.51,0.74,0.95,0.2,77.0,0.38,77.0,0.94,Happy/Excited
pop,76.0,203149.0,109.96,2.0,1.0,0.61,0.31,0.37,0.79,0.77,0.96,0.32,55.0,0.55,55.0,0.91,Happy/Excited
rock,68.0,257213.0,95.7,11.0,1.0,0.56,0.37,0.38,0.79,0.74,0.95,0.2,48.0,0.63,48.0,0.94,Relax/Chill
rock,70.0,270400.0,147.66,5.0,0.0,0.55,0.36,0.47,0.5,0.74,0.95,0.24,73.0,0.41,73.0,0.97,Happy/Excited
rock,75.0,263106.0,117.45,7.0,1.0,0.55,0.33,0.38,0.79,0.76,0.95,0.28,56.0,0.51,56.0,0.92,Happy/Excited
,60.0,,172.27,9.0,0.0,0.57,0.39,0.51,0.51,0.74,0.94,0.11,79.0,0.35,79.0,0.93,Happy/Excited
j-rock,58.0,258733.0,143.55,9.0,1.0,0.65,0.38,0.51,0.8,0.74,0.95,0.11,70.0,0.42,70.0,0.94,Happy/Excited
j-rock,51.0,304840.0,103.36,9.0,1.0,0.62,0.38,0.41,0.79,0.74,0.94,0.14,51.0,0.58,51.0,0.93,Happy/Excited
,52.0,,123.05,9.0,1.0,0.6,0.4,0.43,0.8,0.74,0.92,0.13,57.0,0.49,57.0,0.95,Happy/Excited
j-rock,47.0,201333.0,95.7,2.0,1.0,0.45,0.36,0.45,0.79,0.75,0.94,0.2,44.0,0.63,44.0,0.93,Happy/Excited
j-pop,45.0,335866.0,103.36,11.0,1.0,0.58,0.32,0.4,0.79,0.76,0.96,0.28,48.0,0.58,48.0,0.87,Relax/Chill
rockabilly,41.0,234840.0,143.55,5.0,0.0,0.57,0.37,0.48,0.51,0.75,0.93,0.18,70.0,0.42,70.0,0.91,Tired/Sad
pop,42.0,,172.27,5.0,0.0,0.57,0.35,0.49,0.51,0.75,0.93,0.23,84.0,0.35,84.0,0.92,Happy/Excited
rockabilly,34.0,,161.5,10.0,0.0,0.6,0.35,0.61,0.51,0.76,0.93,0.2,42.0,0.37,42.0,0.92,Relax/Chill
,47.0,,136.0,6.0,1.0,0.45,0.35,0.47,0.78,0.74,0.95,0.19,64.0,0.44,64.0,0.88,Relax/Chill
,54.0,,80.75,4.0,0.0,0.56,0.38,0.42,0.48,0.75,0.94,0.14,18.0,0.74,18.0,0.85,Happy/Excited
,50.0,,126.05,7.0,1.0,0.66,0.39,0.49,0.8,0.74,0.95,0.13,38.0,0.48,38.0,0.85,Relax/Chill
,58.0,,89.1,6.0,0.0,0.55,0.39,0.4,0.49,0.74,0.93,0.15,33.0,0.67,33.0,0.91,Happy/Excited
,52.0,,136.0,6.0,1.0,0.59,0.35,0.44,0.8,0.75,0.95,0.23,64.0,0.44,64.0,0.93,Happy/Excited
,62.0,,152.0,6.0,0.0,0.63,0.36,0.51,0.5,0.75,0.95,0.22,64.0,0.39,64.0,0.95,Relax/Chill
,54.0,,147.66,4.0,0.0,0.64,0.38,0.51,0.5,0.76,0.94,0.19,58.0,0.41,58.0,0.92,Happy/Excited
,48.0,,78.3,1.0,0.0,0.46,0.32,0.42,0.48,0.76,0.96,0.28,28.0,0.77,28.0,0.89,Happy/Excited
,58.0,,123.05,2.0,1.0,0.61,0.38,0.56,0.8,0.75,0.93,0.16,33.0,0.49,33.0,0.94,Relax/Chill
,59.0,,79.51,3.0,1.0,0.64,0.35,0.4,0.78,0.75,0.94,0.24,32.0,0.75,32.0,0.97,Happy/Excited
,25.0,,143.55,2.0,1.0,0.62,0.33,0.47,0.79,0.74,0.97,0.23,70.0,0.42,70.0,0.94,Tired/Sad
j-pop,59.0,232280.0,117.45,8.0,0.0,0.57,0.36,0.47,0.49,0.75,0.94,0.21,58.0,0.51,58.0,0.92,Happy/Excited
j-pop,38.0,,143.55,8.0,0.0,0.66,0.38,0.46,0.51,0.74,0.93,0.18,69.0,0.42,69.0,0.92,Relax/Chill
pop,66.0,276040.0,152.0,10.0,0.0,0.65,0.37,0.45,0.51,0.74,0.94,0.17,74.0,0.39,74.0,0.94,Happy/Excited
,21.0,,152.0,4.0,0.0,0.56,0.36,0.48,0.51,0.74,0.93,0.22,70.0,0.39,70.0,0.9,Happy/Excited
j-pop,46.0,,136.0,4.0,1.0,0.57,0.38,0.42,0.8,0.74,0.93,0.16,67.0,0.44,67.0,0.92,Relax/Chill
j-pop,31.0,250666.0,129.2,0.0,1.0,0.63,0.36,0.56,0.8,0.75,0.94,0.2,30.0,0.46,30.0,0.92,Happy/Excited
,48.0,,178.21,6.0,0.0,0.57,0.39,0.65,0.51,0.73,0.94,0.06,17.0,0.34,17.0,0.93,Happy/Excited
,41.0,,161.5,10.0,0.0,0.46,0.38,0.45,0.51,0.72,0.94,0.1,77.0,0.37,77.0,0.94,Happy/Excited
,29.0,,129.2,9.0,1.0,0.59,0.36,0.42,0.8,0.73,0.95,0.15,64.0,0.46,64.0,0.93,Relax/Chill
,25.0,,178.21,11.0,1.0,0.59,0.38,0.49,0.81,0.74,0.93,0.17,83.0,0.34,83.0,0.93,Happy/Excited
,33.0,,80.75,10.0,0.0,0.65,0.38,0.41,0.48,0.73,0.95,0.13,40.0,0.74,40.0,0.92,Relax/Chill
,31.0,,126.05,10.0,0.0,0.47,0.34,0.46,0.5,0.76,0.94,0.24,61.0,0.48,61.0,0.92,Tired/Sad
,24.0,,136.0,0.0,1.0,0.5,0.33,0.41,0.8,0.77,0.95,0.29,68.0,0.44,68.0,0.9,Happy/Excited
,27.0,,132.51,10.0,0.0,0.58,0.34,0.39,0.49,0.75,0.97,0.24,66.0,0.45,66.0,0.92,Happy/Excited
,49.0,,143.55,9.0,1.0,0.55,0.35,0.52,0.81,0.76,0.93,0.23,64.0,0.42,64.0,0.91,Relax/Chill
,53.0,,152.0,8.0,0.0,0.48,0.32,0.45,0.5,0.75,0.96,0.27,72.0,0.39,72.0,0.92,Happy/Excited
,44.0,,83.35,7.0,1.0,0.32,0.26,0.49,0.72,0.79,0.97,0.33,20.0,0.72,20.0,0.82,Happy/Excited
,36.0,,136.0,10.0,0.0,0.43,0.33,0.46,0.5,0.76,0.95,0.27,65.0,0.44,65.0,0.89,Happy/Excited
,41.0,,129.2,7.0,1.0,0.51,0.33,0.53,0.79,0.75,0.97,0.26,37.0,0.46,37.0,0.95,Tired/Sad
,31.0,,136.0,9.0,1.0,0.68,0.37,0.44,0.8,0.75,0.93,0.18,68.0,0.44,68.0,0.92,Angry/Frustrated
pop,57.0,317597.0,112.35,5.0,0.0,0.53,0.31,0.38,0.45,0.75,0.97,0.28,54.0,0.53,54.0,0.89,Happy/Excited
,28.0,,112.35,8.0,0.0,0.6,0.31,0.47,0.48,0.76,0.97,0.31,55.0,0.53,55.0,0.89,Tired/Sad
singer-songwriter,55.0,,123.05,0.0,0.0,0.53,0.32,0.53,0.42,0.76,0.96,0.26,27.0,0.49,27.0,0.9,Tired/Sad
singer-songwriter,33.0,258976.0,107.67,10.0,0.0,0.5,0.29,0.4,0.42,0.76,0.97,0.31,50.0,0.56,50.0,0.84,Relax/Chill
singer-songwriter,31.0,,147.66,11.0,1.0,0.56,0.3,0.49,0.76,0.77,0.97,0.33,65.0,0.41,65.0,0.91,Happy/Excited
singer-songwriter,57.0,207466.0,123.05,0.0,0.0,0.58,0.27,0.44,0.4,0.78,0.97,0.41,56.0,0.49,56.0,0.89,Happy/Excited
singer-songwriter,54.0,325844.0,136.0,10.0,0.0,0.47,0.35,0.44,0.5,0.75,0.96,0.22,67.0,0.44,67.0,0.91,Happy/Excited
singer-songwriter,47.0,281346.0,143.55,8.0,0.0,0.56,0.27,0.55,0.36,0.79,0.97,0.38,34.0,0.42,34.0,0.9,Relax/Chill
,75.0,,129.2,2.0,1.0,0.65,0.33,0.6,0.8,0.77,0.95,0.27,29.0,0.46,29.0,0.94,Tired/Sad
pop,65.0,235200.0,105.47,4.0,1.0,0.5,0.32,0.44,0.79,0.76,0.94,0.28,51.0,0.57,51.0,0.91,Relax/Chill
pop,54.0,231910.0,117.45,0.0,1.0,0.57,0.32,0.45,0.79,0.76,0.95,0.31,58.0,0.51,58.0,0.93,Happy/Excited
singer-songwriter,49.0,,123.05,0.0,1.0,0.56,0.34,0.47,0.8,0.76,0.95,0.29,58.0,0.49,58.0,0.93,Angry/Frustrated
singer-songwriter,44.0,,84.72,11.0,1.0,0.52,0.31,0.4,0.78,0.76,0.94,0.32,40.0,0.71,40.0,0.87,Tired/Sad
singer-songwriter,47.0,245822.0,143.55,6.0,1.0,0.53,0.32,0.44,0.8,0.75,0.95,0.29,70.0,0.42,70.0,0.91,Happy/Excited
singer-songwriter,46.0,238105.0,129.2,4.0,1.0,0.58,0.32,0.44,0.8,0.76,0.96,0.31,61.0,0.46,61.0,0.9,Tired/Sad
mandopop,65.0,273573.0,112.35,2.0,1.0,0.48,0.34,0.49,0.79,0.75,0.94,0.23,29.0,0.53,29.0,0.89,Relax/Chill
mandopop,55.0,270373.0,136.0,3.0,0.0,0.43,0.32,0.42,0.47,0.75,0.97,0.27,64.0,0.44,64.0,0.91,Relax/Chill
mandopop,53.0,284853.0,152.0,10.0,0.0,0.59,0.33,0.58,0.5,0.76,0.95,0.25,33.0,0.39,33.0,0.94,Tired/Sad
singer-songwriter,60.0,313565.0,161.5,6.0,0.0,0.53,0.32,0.49,0.5,0.76,0.96,0.25,79.0,0.37,79.0,0.9,Tired/Sad
mandopop,56.0,265573.0,92.29,10.0,0.0,0.55,0.31,0.44,0.44,0.76,0.96,0.27,46.0,0.65,46.0,0.94,Relax/Chill
mandopop,64.0,239346.0,107.67,11.0,1.0,0.55,0.31,0.48,0.75,0.77,0.96,0.31,51.0,0.56,51.0,0.92,Tired/Sad
mandopop,61.0,223453.0,161.5,4.0,1.0,0.67,0.35,0.51,0.81,0.75,0.93,0.22,76.0,0.37,76.0,0.95,Relax/Chill
pop,53.0,263173.0,156.61,4.0,1.0,0.5,0.31,0.49,0.78,0.77,0.96,0.29,73.0,0.38,73.0,0.95,Happy/Excited
mandopop,53.0,293960.0,139.67,5.0,1.0,0.49,0.3,0.45,0.71,0.76,0.97,0.29,65.0,0.43,65.0,0.91,Relax/Chill
pop,66.0,215146.0,90.67,6.0,1.0,0.63,0.32,0.42,0.78,0.76,0.96,0.29,45.0,0.66,45.0,0.96,Tired/Sad
mandopop,55.0,253960.0,76.0,2.0,1.0,0.45,0.34,0.4,0.78,0.75,0.95,0.24,35.0,0.79,35.0,0.92,Relax/Chill
mandopop,61.0,228173.0,143.55,10.0,0.0,0.54,0.37,0.51,0.51,0.73,0.92,0.17,67.0,0.42,67.0,0.96,Relax/Chill
mandopop,60.0,308546.0,86.13,9.0,1.0,0.5,0.35,0.47,0.78,0.76,0.94,0.21,20.0,0.7,20.0,0.83,Relax/Chill
mandopop,66.0,287026.0,136.0,10.0,0.0,0.49,0.36,0.5,0.5,0.74,0.95,0.19,65.0,0.44,65.0,0.94,Relax/Chill
rock,75.0,262333.0,83.35,8.0,0.0,0.66,0.34,0.45,0.48,0.75,0.97,0.23,13.0,0.72,13.0,0.94,Relax/Chill
punk,39.0,,105.47,6.0,1.0,0.6,0.35,0.43,0.79,0.75,0.96,0.23,50.0,0.57,50.0,0.94,Relax/Chill
punk,41.0,,166.71,5.0,0.0,0.61,0.36,0.48,0.5,0.74,0.96,0.22,78.0,0.36,78.0,0.93,Relax/Chill
punk-rock,37.0,,92.29,8.0,0.0,0.7,0.36,0.43,0.49,0.75,0.95,0.23,35.0,0.65,35.0,0.91,Relax/Chill
,76.0,,143.55,7.0,0.0,0.51,0.36,0.48,0.5,0.75,0.95,0.18,64.0,0.42,64.0,0.92,Happy/Excited
,45.0,,105.47,11.0,0.0,0.53,0.31,0.44,0.49,0.75,0.96,0.29,49.0,0.57,49.0,0.96,Tired/Sad
,0.0,,143.55,5.0,1.0,0.47,0.28,0.45,0.76,0.78,0.96,0.36,70.0,0.42,70.0,0.89,Relax/Chill
,59.0,,123.05,8.0,0.0,0.44,0.34,0.59,0.5,0.75,0.95,0.23,22.0,0.49,22.0,0.93,Relax/Chill
,34.0,,123.05,3.0,0.0,0.74,0.27,0.47,0.36,0.77,0.98,0.35,58.0,0.49,58.0,0.96,Relax/Chill
,29.0,,136.0,9.0,1.0,0.52,0.25,0.42,0.64,0.79,0.99,0.39,65.0,0.44,65.0,0.87,Tired/Sad
pop,38.0,175186.0,123.05,10.0,1.0,0.51,0.3,0.47,0.7,0.76,0.97,0.23,58.0,0.49,58.0,0.92,Relax/Chill
pop,38.0,,86.13,10.0,0.0,0.47,0.29,0.41,0.38,0.77,0.97,0.33,42.0,0.7,42.0,0.87,Tired/Sad
mandopop,47.0,253040.0,93.96,4.0,1.0,0.46,0.3,0.46,0.79,0.77,0.95,0.34,45.0,0.64,45.0,0.91,Happy/Excited
mandopop,43.0,272026.0,109.96,8.0,0.0,0.5,0.33,0.46,0.49,0.75,0.95,0.28,54.0,0.55,54.0,0.96,Tired/Sad
,39.0,,82.03,11.0,1.0,0.56,0.33,0.4,0.78,0.76,0.95,0.3,40.0,0.73,40.0,0.85,Relax/Chill
singer-songwriter,49.0,202346.0,112.35,5.0,0.0,0.46,0.34,0.45,0.5,0.76,0.93,0.24,51.0,0.53,51.0,0.85,Happy/Excited
,62.0,,87.59,8.0,0.0,0.67,0.33,0.4,0.48,0.76,0.95,0.28,41.0,0.68,41.0,0.93,Happy/Excited
indie pop,53.0,347058.0,136.0,8.0,0.0,0.64,0.32,0.45,0.48,0.76,0.97,0.31,64.0,0.44,64.0,0.89,Happy/Excited
mandopop,54.0,313186.0,129.2,10.0,0.0,0.42,0.38,0.45,0.5,0.75,0.94,0.17,63.0,0.46,63.0,0.91,Relax/Chill
singer-songwriter,59.0,280954.0,166.71,4.0,1.0,0.55,0.26,0.62,0.75,0.78,0.97,0.39,38.0,0.36,38.0,0.93,Relax/Chill
mandopop,47.0,262333.0,117.45,2.0,1.0,0.51,0.34,0.5,0.79,0.76,0.95,0.23,26.0,0.51,26.0,0.92,Relax/Chill
mandopop,56.0,191718.0,132.51,5.0,0.0,0.57,0.31,0.43,0.5,0.78,0.97,0.32,65.0,0.45,65.0,0.89,Happy/Excited
mandopop,66.0,259600.0,84.72,10.0,1.0,0.55,0.31,0.42,0.73,0.76,0.97,0.28,39.0,0.71,39.0,0.91,Relax/Chill
hip-hop,56.0,258834.0,161.5,7.0,1.0,0.6,0.35,0.49,0.81,0.75,0.94,0.23,75.0,0.37,75.0,0.92,Relax/Chill
mandopop,47.0,272560.0,161.5,4.0,1.0,0.53,0.36,0.49,0.81,0.74,0.94,0.18,72.0,0.37,72.0,0.9,Relax/Chill
rock,74.0,288013.0,147.66,5.0,0.0,0.57,0.34,0.51,0.5,0.74,0.96,0.22,71.0,0.41,71.0,0.93,Relax/Chill
rock,75.0,286053.0,161.5,6.0,1.0,0.53,0.36,0.52,0.8,0.73,0.96,0.18,76.0,0.37,76.0,0.93,Tired/Sad
rock,71.0,314280.0,77.13,9.0,1.0,0.56,0.35,0.39,0.78,0.74,0.96,0.2,38.0,0.78,38.0,0.92,Tired/Sad
rock,66.0,340080.0,156.61,4.0,1.0,0.52,0.36,0.48,0.81,0.74,0.95,0.19,73.0,0.38,73.0,0.94,Relax/Chill
rock,67.0,325040.0,80.75,10.0,0.0,0.49,0.39,0.44,0.48,0.74,0.93,0.17,39.0,0.74,39.0,0.91,Happy/Excited
rock,68.0,254440.0,89.1,5.0,0.0,0.51,0.37,0.44,0.48,0.73,0.95,0.15,42.0,0.67,42.0,0.92,Relax/Chill
rock,72.0,258333.0,147.66,11.0,0.0,0.49,0.37,0.52,0.5,0.74,0.94,0.18,71.0,0.41,71.0,0.95,Relax/Chill
j-rock,59.0,262000.0,123.05,4.0,1.0,0.53,0.36,0.46,0.8,0.74,0.95,0.2,60.0,0.49,60.0,0.94,Angry/Frustrated
j-idol,44.0,265826.0,123.05,8.0,0.0,0.59,0.39,0.49,0.5,0.73,0.94,0.11,58.0,0.49,58.0,0.96,Relax/Chill
j-idol,50.0,249533.0,120.19,5.0,1.0,0.66,0.4,0.43,0.8,0.75,0.92,0.18,55.0,0.5,55.0,0.96,Tired/Sad
j-idol,47.0,222666.0,161.5,4.0,1.0,0.57,0.39,0.44,0.81,0.74,0.94,0.13,79.0,0.37,79.0,0.95,Relax/Chill
j-idol,45.0,221506.0,126.05,7.0,1.0,0.49,0.34,0.47,0.79,0.75,0.96,0.22,61.0,0.48,61.0,0.96,Tired/Sad
j-idol,47.0,273866.0,129.2,5.0,0.0,0.55,0.39,0.47,0.5,0.73,0.94,0.13,61.0,0.46,61.0,0.92,Relax/Chill
j-idol,46.0,307600.0,103.36,8.0,1.0,0.54,0.37,0.45,0.79,0.73,0.96,0.13,42.0,0.58,42.0,0.97,Relax/Chill
j-idol,46.0,307600.0,103.36,8.0,1.0,0.54,0.37,0.45,0.79,0.73,0.96,0.13,42.0,0.58,42.0,0.97,Relax/Chill
j-idol,41.0,245166.0,143.55,4.0,1.0,0.57,0.33,0.56,0.8,0.76,0.96,0.26,37.0,0.42,37.0,0.95,Relax/Chill
j-idol,44.0,296400.0,136.0,7.0,1.0,0.59,0.39,0.44,0.8,0.72,0.94,0.09,67.0,0.44,67.0,0.93,Relax/Chill
rock,59.0,253226.0,132.51,6.0,0.0,0.58,0.34,0.56,0.5,0.76,0.96,0.24,31.0,0.45,31.0,0.94,Relax/Chill
rock,50.0,263733.0,92.29,4.0,1.0,0.62,0.37,0.4,0.79,0.75,0.93,0.21,44.0,0.65,44.0,0.9,Relax/Chill
rock,56.0,230586.0,97.51,7.0,1.0,0.54,0.35,0.39,0.78,0.74,0.96,0.22,47.0,0.62,47.0,0.86,Relax/Chill
j-rock,48.0,253440.0,86.13,7.0,1.0,0.6,0.35,0.45,0.78,0.75,0.95,0.21,12.0,0.7,12.0,0.83,Happy/Excited
j-rock,49.0,213462.0,147.66,2.0,1.0,0.61,0.36,0.53,0.8,0.74,0.96,0.17,66.0,0.41,66.0,0.96,Happy/Excited
rock,42.0,221666.0,92.29,7.0,0.0,0.55,0.38,0.37,0.49,0.75,0.93,0.21,47.0,0.65,47.0,0.87,Happy/Excited
j-pop,64.0,261239.0,120.19,4.0,1.0,0.53,0.38,0.49,0.8,0.75,0.94,0.17,56.0,0.5,56.0,0.93,Relax/Chill
